City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
123,Srednekolymsk,67.45,153.68,51.69,74,100,2.77,RU,2020-09-06 23:02:52
124,Dhuburi,26.03,89.97,77.94,93,100,4.74,IN,2020-09-06 23:02:53
125,Cabadiangan,9.75,122.47,81.73,79,88,2.3,PH,2020-09-06 23:02:53
126,Labuhan,-6.88,112.21,76.91,82,60,9.19,ID,2020-09-06 23:02:53
127,Stuttgart,48.78,9.18,60.01,62,20,2.24,DE,2020-09-06 23:00:15
128,Cabo San Lucas,22.89,-109.91,84.99,69,40,16.11,MX,2020-09-06 22:59:55
129,Khatanga,71.97,102.5,39.65,80,29,4.29,RU,2020-09-06 23:02:54
130,Sola,-13.88,167.55,79.25,83,88,22.03,VU,2020-09-06 23:02:55
131,Upernavik,72.79,-56.15,36.1,83,98,12.15,GL,2020-09-06 23:02:55
132,Uchiza,-8.46,-76.46,78.42,65,100,0.67,PE,2020-09-06 23:02:56
133,Oistins,13.07,-59.53,82.4,69,40,12.75,BB,2020-09-06 23:02:56
134,Port Lincoln,-34.73,135.87,66.79,34,100,28.1,AU,2020-09-06 23:02:56
135,Saint-Pierre,-21.34,55.48,66.2,72,0,6.93,RE,2020-09-06 23:02:57
136,Gorodovikovsk,46.09,41.93,68.25,62,100,4.38,RU,2020-09-06 23:02:57
137,Ardakan,32.31,54.02,73.4,18,0,2.24,IR,2020-09-06 23:02:57
138,Cockburn Town,21.46,-71.14,84.2,70,40,8.05,TC,2020-09-06 23:00:08
139,Panzhihua,26.59,101.71,64.06,83,91,0.63,CN,2020-09-06 23:02:59
140,Van,38.49,43.38,62.6,42,0,1.12,TR,2020-09-06 23:01:08
141,Ambulu,-8.35,113.61,75.13,86,68,4.38,ID,2020-09-06 23:02:59
142,Mana,5.66,-53.78,78.8,87,95,9.62,GF,2020-09-06 23:02:59
143,Hilo,19.73,-155.09,87.8,55,1,3.36,US,2020-09-06 23:02:46
144,Lorengau,-2.02,147.27,84.2,77,10,12.66,PG,2020-09-06 23:03:00
145,Jamestown,42.1,-79.24,68.0,63,1,5.82,US,2020-09-06 23:03:00
146,Maningrida,-12.07,134.27,75.25,72,64,11.36,AU,2020-09-06 23:03:00
147,Klaksvik,62.23,-6.59,50.0,100,100,16.11,FO,2020-09-06 23:03:00
148,Lambarene,-0.7,10.24,73.13,85,19,2.77,GA,2020-09-06 23:03:01
149,Tasiilaq,65.61,-37.64,37.4,93,79,11.41,GL,2020-09-06 23:03:01
150,Loreto,22.27,-101.97,67.77,62,100,15.95,MX,2020-09-06 23:03:01
151,Nishihara,26.18,127.76,80.6,100,75,8.05,JP,2020-09-06 23:03:02
152,Iwanai,42.97,140.51,78.3,76,85,3.49,JP,2020-09-06 23:03:02
153,Lebu,-37.62,-73.65,49.71,86,0,10.98,CL,2020-09-06 23:03:02
154,Torbay,47.67,-52.73,60.01,71,75,9.17,CA,2020-09-06 23:03:03
155,Malanje,-9.54,16.34,68.63,71,61,9.26,AO,2020-09-06 23:03:04
156,Husavik,66.04,-17.34,55.4,76,75,18.34,IS,2020-09-06 23:03:04
157,Kaoma,-14.78,24.8,57.79,42,0,6.93,ZM,2020-09-06 23:03:04
158,General Pico,-35.66,-63.76,50.7,65,36,2.57,AR,2020-09-06 23:03:05
159,Kahului,20.89,-156.47,89.6,43,20,20.8,US,2020-09-06 22:59:45
160,Hambantota,6.12,81.12,79.74,71,100,18.97,LK,2020-09-06 23:03:05
161,Ust-Kuyga,70.02,135.6,44.26,87,100,5.73,RU,2020-09-06 23:03:06
162,Nova Olimpia,-14.8,-57.29,84.74,18,0,3.2,BR,2020-09-06 23:03:06
163,Malangali,-8.57,34.85,61.48,55,6,14.92,TZ,2020-09-06 23:03:06
164,San Quintin,30.48,-115.95,88.72,38,0,6.78,MX,2020-09-06 23:03:07
165,Shingu,33.73,135.98,79.66,90,97,16.4,JP,2020-09-06 23:03:07
166,Santiago,-33.46,-70.65,66.2,34,100,10.29,CL,2020-09-06 23:00:58
167,Viedma,-40.81,-63.0,52.0,58,0,1.01,AR,2020-09-06 23:03:07
168,Chapleau,47.84,-83.4,60.8,59,90,18.34,CA,2020-09-06 23:03:08
169,Shunyi,40.12,116.65,78.01,82,6,6.71,CN,2020-09-06 23:03:08
170,Ahipara,-35.17,173.17,57.78,79,51,15.7,NZ,2020-09-06 23:03:08
171,Plettenberg Bay,-34.05,23.37,56.84,85,7,5.91,ZA,2020-09-06 23:03:08
172,Media Luna,20.14,-77.44,84.38,65,35,1.25,CU,2020-09-06 23:03:09
173,Cayenne,4.93,-52.33,80.6,78,26,3.36,GF,2020-09-06 23:03:04
174,Constitucion,-35.33,-72.42,52.3,81,0,9.98,CL,2020-09-06 23:03:09
175,Aykhal,66.0,111.5,30.2,100,90,4.47,RU,2020-09-06 23:03:09
176,Iqaluit,63.75,-68.51,51.8,40,75,11.41,CA,2020-09-06 23:01:09
177,Lasa,46.62,10.7,51.8,100,40,5.82,IT,2020-09-06 23:03:10
178,Hefei,31.86,117.28,69.8,100,0,4.47,CN,2020-09-06 23:03:10
179,Faanui,-16.48,-151.75,78.13,77,56,11.74,PF,2020-09-06 23:03:11
180,San Luis,-33.3,-66.34,52.77,57,6,17.02,AR,2020-09-06 23:00:22
181,Agirish,61.92,63.02,44.28,94,0,3.31,RU,2020-09-06 23:03:11
182,Pevek,69.7,170.31,43.09,71,0,15.32,RU,2020-09-06 23:03:11
183,Garachine,8.06,-78.36,80.38,82,100,8.3,PA,2020-09-06 23:03:12
184,Chase,50.82,-119.69,82.99,36,72,6.02,CA,2020-09-06 23:03:12
185,Vestmannaeyjar,63.44,-20.27,51.8,93,90,23.04,IS,2020-09-06 23:03:12
186,Itaituba,-4.28,-55.98,84.63,40,34,0.49,BR,2020-09-06 23:03:13
187,Choma,-16.81,26.95,52.84,54,0,3.96,ZM,2020-09-06 23:03:13
188,Rocha,-34.48,-54.33,43.93,91,7,4.79,UY,2020-09-06 22:59:26
189,Nuuk,64.18,-51.72,41.0,86,100,9.17,GL,2020-09-06 23:03:13
190,Pisco,-13.7,-76.22,64.4,72,21,16.11,PE,2020-09-06 23:03:13
191,Wencheng,33.06,113.8,73.58,65,0,4.09,CN,2020-09-06 23:03:14
192,Tiksi,71.69,128.87,43.34,87,98,5.08,RU,2020-09-06 23:03:14
193,Saint Anthony,45.02,-93.22,82.99,39,1,18.34,US,2020-09-06 23:03:15
194,Middle Island,40.88,-72.94,75.2,64,1,12.75,US,2020-09-06 23:03:15
195,Canto Do Buriti,-8.11,-42.94,77.43,33,7,4.21,BR,2020-09-06 23:03:15
196,Saint-Augustin,51.23,-58.65,56.3,67,19,10.04,CA,2020-09-06 23:03:15
197,Kavaratti,10.57,72.64,82.76,78,99,25.55,IN,2020-09-06 23:03:16
198,Amapa,1.0,-52.0,72.46,97,35,2.93,BR,2020-09-06 23:03:16
