City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
132,Yumen,CN,2020-09-01 04:01:40,40.28,97.2,75.83,17,0,11.05
133,Les Cayes,HT,2020-09-01 04:01:40,18.2,-73.75,79.65,77,56,1.12
134,Coahuayana,MX,2020-09-01 04:01:40,18.73,-103.68,77.79,85,100,1.97
135,Kapaa,US,2020-09-01 03:59:56,22.08,-159.32,80.6,83,90,19.46
136,Longonjo,AO,2020-09-01 04:01:41,-12.91,15.25,55.85,82,0,1.66
137,Kloulklubed,PW,2020-09-01 04:01:41,7.04,134.26,86.0,70,75,8.05
138,Praia Da Vitoria,PT,2020-09-01 04:01:42,38.73,-27.07,69.8,77,20,8.79
139,Menongue,AO,2020-09-01 04:01:42,-14.66,17.69,58.5,70,20,4.45
140,Lovozero,RU,2020-09-01 04:01:42,68.0,35.01,46.83,87,78,7.11
141,Petropavlovsk-Kamchatskiy,RU,2020-09-01 04:01:43,53.05,158.65,64.4,48,77,4.47
142,Sisimiut,GL,2020-09-01 04:01:44,66.94,-53.67,42.91,78,76,7.9
143,Wanning,CN,2020-09-01 04:01:45,18.8,110.4,88.81,62,4,5.86
144,Chokurdakh,RU,2020-09-01 04:01:45,70.63,147.92,42.39,71,100,12.1
145,Inhambane,MZ,2020-09-01 04:01:45,-23.86,35.38,66.97,80,100,13.35
146,Ulladulla,AU,2020-09-01 04:01:46,-35.35,150.47,62.6,48,40,10.29
147,Ostrovnoy,RU,2020-09-01 04:01:46,68.05,39.51,46.0,81,61,8.34
148,West Bay,KY,2020-09-01 04:01:47,19.37,-81.42,84.99,84,8,11.39
149,Bubaque,GW,2020-09-01 04:01:48,11.28,-15.83,79.41,84,100,23.02
150,Matagami,CA,2020-09-01 04:01:48,49.75,-77.63,55.4,76,90,11.45
151,Mahebourg,MU,2020-09-01 04:01:48,-20.41,57.7,69.8,83,75,11.41
152,Lagoa,PT,2020-09-01 04:01:48,39.05,-27.98,70.77,69,81,9.48
153,Cherskiy,RU,2020-09-01 04:01:49,68.75,161.3,46.31,68,99,4.21
154,Olafsvik,IS,2020-09-01 04:01:49,64.89,-23.71,50.31,89,100,9.22
155,Rorvik,NO,2020-09-01 04:01:49,64.86,11.24,49.96,63,90,7.83
156,Atar,MR,2020-09-01 04:01:50,20.52,-13.05,87.91,28,2,6.31
157,Huilong,CN,2020-09-01 03:57:30,31.81,121.66,88.0,73,7,10.0
158,Cidreira,BR,2020-09-01 04:01:50,-30.18,-50.21,55.89,76,100,15.05
159,Faya,SA,2020-09-01 04:01:50,18.39,42.45,66.2,45,7,3.53
160,Priargunsk,RU,2020-09-01 04:01:50,50.37,119.1,60.48,75,100,9.37
161,Magadan,RU,2020-09-01 04:01:51,59.57,150.8,54.03,74,100,7.92
162,Goundam,ML,2020-09-01 04:01:51,16.41,-3.67,81.63,67,15,11.25
163,Pacifica,US,2020-09-01 04:01:51,37.61,-122.49,60.01,93,90,5.82
164,Khatanga,RU,2020-09-01 04:01:52,71.97,102.5,47.89,63,88,11.68
165,Grand Gaube,MU,2020-09-01 04:01:52,-20.01,57.66,73.0,72,9,5.01
166,Yellowknife,CA,2020-09-01 04:01:52,62.46,-114.35,48.0,65,75,11.41
167,Salinopolis,BR,2020-09-01 04:01:53,-0.61,-47.36,78.78,83,0,11.34
168,General Pico,AR,2020-09-01 04:00:49,-35.66,-63.76,46.58,61,69,12.1
169,Castro,BR,2020-09-01 03:59:26,-24.79,-50.01,56.3,88,99,12.3
170,Lavrentiya,RU,2020-09-01 04:01:54,65.58,-171.0,43.52,74,100,12.35
171,Muscat,OM,2020-09-01 04:01:54,23.61,58.59,86.0,79,94,3.36
172,Omsukchan,RU,2020-09-01 04:01:54,62.53,155.8,50.11,61,100,5.08
173,Cap Malheureux,MU,2020-09-01 04:01:55,-19.98,57.61,73.0,72,7,5.01
174,Ust-Kuyga,RU,2020-09-01 04:01:55,70.02,135.6,57.51,43,0,11.05
175,Aleksandrov Gay,RU,2020-09-01 04:01:55,50.15,48.57,76.51,29,0,2.24
176,Boa Vista,BR,2020-09-01 03:58:54,2.82,-60.67,78.8,78,0,3.36
177,Arraial Do Cabo,BR,2020-09-01 04:00:06,-22.97,-42.03,72.28,85,100,10.67
178,Manadhoo,MV,2020-09-01 04:01:57,5.77,73.38,82.47,75,98,9.35
179,Nyeri,KE,2020-09-01 04:01:57,-0.42,36.95,56.17,83,81,2.64
180,Popondetta,PG,2020-09-01 04:01:58,-8.75,148.25,90.48,52,91,6.02
181,Vaijapur,IN,2020-09-01 04:01:58,19.92,74.73,78.51,74,15,8.37
182,Maceio,BR,2020-09-01 04:00:08,-9.67,-35.74,73.4,83,40,4.7
183,Were Ilu,ET,2020-09-01 04:01:59,10.6,39.43,51.91,91,100,1.92
184,Cabo San Lucas,MX,2020-09-01 04:00:06,22.89,-109.91,82.99,71,30,1.99
185,Port Alfred,ZA,2020-09-01 04:01:59,-33.59,26.89,57.09,74,100,16.71
186,New Norfolk,AU,2020-09-01 04:02:00,-42.78,147.06,53.6,46,75,11.41
187,Opuwo,NA,2020-09-01 04:02:00,-18.06,13.84,48.94,50,0,1.16
188,Muskogee,US,2020-09-01 03:57:25,35.58,-95.33,77.0,100,40,5.82
189,Calvinia,ZA,2020-09-01 04:02:01,-31.47,19.78,42.58,60,100,9.28
190,Port Elizabeth,ZA,2020-09-01 04:02:02,-33.92,25.57,57.0,71,100,5.99
191,Ukiah,US,2020-09-01 04:01:21,39.15,-123.21,80.6,42,90,1.16
192,Katobu,ID,2020-09-01 04:02:03,-4.94,122.53,85.3,71,72,8.95
193,Esmeraldas,BR,2020-09-01 04:02:04,-19.76,-44.31,69.8,64,0,9.17
194,Bowen,AU,2020-09-01 04:02:04,-20.02,148.23,77.0,53,0,16.11
195,Mount Hagen,PG,2020-09-01 04:02:04,-5.86,144.23,76.46,54,71,2.33
196,Constitucion,CL,2020-09-01 04:02:05,-35.33,-72.42,45.28,83,0,4.54
197,Forestville,US,2020-09-01 04:02:05,38.85,-76.88,68.0,93,75,4.7
198,Obihiro,JP,2020-09-01 04:02:06,42.92,143.2,59.0,87,75,1.12
199,Codrington,AU,2020-09-01 04:02:06,-38.27,141.97,55.71,68,88,16.84
200,Tongchuan,CN,2020-09-01 04:02:06,35.08,109.09,78.71,35,81,4.85
201,Elko,US,2020-09-01 04:00:26,41.0,-115.5,68.0,28,1,11.41
202,Bamenda,CM,2020-09-01 04:02:07,5.95,10.16,63.34,94,100,2.59
203,Shetpe,KZ,2020-09-01 04:02:07,44.17,52.12,76.68,38,0,4.23
204,Xiazhen,CN,2020-09-01 04:00:24,34.8,117.11,86.76,62,0,6.67
205,Harlingen,US,2020-09-01 03:59:00,26.19,-97.7,87.01,79,40,19.46
206,Ouahigouya,BF,2020-09-01 04:02:08,13.58,-2.42,73.47,89,55,7.67
207,Nome,US,2020-09-01 04:02:08,64.5,-165.41,60.8,48,1,9.17
208,Obo,CF,2020-09-01 04:02:08,5.4,26.49,66.45,95,100,0.49
209,Flinders,AU,2020-09-01 04:02:08,-34.58,150.86,61.0,61,26,10.0
210,Emerald,AU,2020-09-01 04:02:09,-23.53,148.17,82.99,23,0,5.82
211,Tuktoyaktuk,CA,2020-09-01 04:02:09,69.45,-133.04,51.8,81,90,6.93
212,Hervey Bay,AU,2020-09-01 04:02:09,-25.3,152.85,84.0,36,75,8.05
213,Airai,TL,2020-09-01 04:02:09,-8.93,125.41,77.76,47,8,7.18
214,La Ronge,CA,2020-09-01 04:02:11,55.1,-105.28,48.2,76,5,5.82
215,Severo-Kurilsk,RU,2020-09-01 04:02:11,50.68,156.12,53.38,68,82,6.26
216,Victoria,HK,2020-09-01 04:00:53,22.29,114.16,93.99,63,32,5.99
